Track name, Artist name, Album, Playlist name, Type
"Ariana Grande, Social House - boyfriend (Official Video)",,,BT Tryhard 22/01/23,Playlist track
JVKE - golden hour (official music video),,,BT Tryhard 22/01/23,Playlist track
Metro Boomin · Gunna - Space Cadet,,,BT Tryhard 22/01/23,Playlist track
The Weeknd · Daft Punk - Starboy,,,BT Tryhard 22/01/23,Playlist track
Ariana Grande - no tears left to cry,,,BT Tryhard 22/01/23,Playlist track
EMELINE - cinderella's dead,,,BT Tryhard 22/01/23,Playlist track
Ed Sheeran · Khalid - Beautiful People (feat. Khalid),,,BT Tryhard 22/01/23,Playlist track
Ashnikko - Daisy,,,BT Tryhard 22/01/23,Playlist track
Olivia Rodrigo - good 4 u,,,BT Tryhard 22/01/23,Playlist track
Maroon 5 - Maps,,,BT Tryhard 22/01/23,Playlist track
Post Malone · Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse),,,BT Tryhard 22/01/23,Playlist track
Iggy Azalea · Rita Ora - Black Widow,,,BT Tryhard 22/01/23,Playlist track
Charlie Puth - River,,,BT Tryhard 22/01/23,Playlist track
Dua Lipa - IDGAF,,,BT Tryhard 22/01/23,Playlist track
ZAYN · Devlin - Windowsill,,,BT Tryhard 22/01/23,Playlist track
Halsey - New Americana,,,BT Tryhard 22/01/23,Playlist track
OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],,,BT Tryhard 22/01/23,Playlist track
Ed Sheeran - Don't,,,BT Tryhard 22/01/23,Playlist track
Troye Sivan - Strawberries & Cigarettes,,,BT Tryhard 22/01/23,Playlist track
Ariana Grande - 7 rings,,,3/07/21,Playlist track
Lukas Graham - 7 Years,,,3/07/21,Playlist track
Ed Sheeran - Afterglow,,,3/07/21,Playlist track
Alan Walker · Noah Cyrus · Digital Farm Animals · Juliander - All Falls Down,,,3/07/21,Playlist track
Billie Eilish - all the good girls go to hell,,,3/07/21,Playlist track
Meghan Trainor - All About That Bass,,,3/07/21,Playlist track
John Legend - All of Me,,,3/07/21,Playlist track
Bruno Mars - 24K Magic,,,3/07/21,Playlist track
Jon Bellion - All Time Low,,,3/07/21,Playlist track
Jacksepticeye · The Gregory Brothers - All the Way (I Believe In Steve),,,3/07/21,Playlist track
"Alan Walker · Ava Max - Alone, Pt. II",,,3/07/21,Playlist track
Estelle feat. Kanye West · Estelle · Kanye West - American Boy,,,3/07/21,Playlist track
Maroon 5 - Animals,,,3/07/21,Playlist track
Duncan Laurence · FLETCHER - Arcade,,,3/07/21,Playlist track
Stellar - Ashes,,,3/07/21,Playlist track
Vicetone · Tony Igy · Anton Igumnov - Astronomia,,,3/07/21,Playlist track
Selena Gomez - Back To You (From 13 Reasons Why – Season 2 Soundtrack),,,3/07/21,Playlist track
Halsey - Bad At Love,,,3/07/21,Playlist track
Billie Eilish - bad guy,,,3/07/21,Playlist track
Billie Eilish - bad guy,,,3/07/21,Playlist track
The Federal Empire - Bad Habits,,,3/07/21,Playlist track
Marshmello & Halsey - Be Kind (Official Music Video),,,3/07/21,Playlist track
Maroon 5 · Megan Thee Stallion - Beautiful Mistakes,,,3/07/21,Playlist track
Ed Sheeran · Khalid - Beautiful People (feat. Khalid),,,3/07/21,Playlist track
Imagine Dragons - Believer,,,3/07/21,Playlist track
American Authors - Best Day Of My Life,,,3/07/21,Playlist track
Neffex - Best of Me,,,3/07/21,Playlist track
ZAYN - Better,,,3/07/21,Playlist track
OneRepublic - Better Days (Audio),,,3/07/21,Playlist track
Khalid - Better,,,3/07/21,Playlist track
Imagine Dragons - Birds,,,3/07/21,Playlist track
Taylor Swift - Blank Space,,,3/07/21,Playlist track
The Weeknd - Blinding Lights,,,3/07/21,Playlist track
Charli XCX - Boom Clap,,,3/07/21,Playlist track
Green Day - Boulevard of Broken Dreams,,,3/07/21,Playlist track
Roddy Ricch - The Box,,,3/07/21,Playlist track
Alec Benjamin - Boy in the Bubble,,,3/07/21,Playlist track
Lewis Capaldi - Bruises,,,3/07/21,Playlist track
Bella Poarch - Build a Bitch,,,3/07/21,Playlist track
DNCE - Cake By The Ocean,,,3/07/21,Playlist track
Hardwell and Collin McLoughlin - Call Me A Spaceman (Unplugged Version),,,3/07/21,Playlist track
The Weeknd - Can't Feel My Face,,,3/07/21,Playlist track
Macklemore & Ryan Lewis · Macklemore · Ryan Lewis · Ray Dalton - Can't Hold Us (feat. Ray Dalton),,,3/07/21,Playlist track
Kina · Adriana Proenza - Can We Kiss Forever?,,,3/07/21,Playlist track
Ed Sheeran - Castle on the Hill,,,3/07/21,Playlist track
Fall Out Boy - Centuries,,,3/07/21,Playlist track
Sia - Chandelier,,,3/07/21,Playlist track
Snow Patrol - Chasing Cars,,,3/07/21,Playlist track
Sia · Sean Paul - Cheap Thrills,,,3/07/21,Playlist track
Charlie Puth - Cheating on You,,,3/07/21,Playlist track
blackbear · Wiz Khalifa - cheers,,,3/07/21,Playlist track
MKTO - Classic,,,3/07/21,Playlist track
The Chainsmokers · Halsey - Closer,,,3/07/21,Playlist track
NF - CLOUDS (Edit),,,3/07/21,Playlist track
"P. Diddy · Dirty Money - Coming Home - P. Diddy, Dirty Money",,,3/07/21,Playlist track
Pewdiepie · Dylan Locke · Boyinaband · Roomie - Congratulations (feat. Boyinaband & Roomie) (Remix),,,3/07/21,Playlist track
Jonas Brothers - Cool,,,3/07/21,Playlist track
Echosmith - Cool Kids,,,3/07/21,Playlist track
Billie Eilish - COPYCAT,,,3/07/21,Playlist track
Bruno Mars - Count on Me,,,3/07/21,Playlist track
Counting stars - OneRepublic,,,3/07/21,Playlist track
RichaadEB - Crab Rave,,,3/07/21,Playlist track
Sub Urban - Cradles,,,3/07/21,Playlist track
Dylan Locke - Creeper Aww Man,,,3/07/21,Playlist track
Camila Cabello - Crying in the Club,,,3/07/21,Playlist track
Ashnikko - Daisy,,,3/07/21,Playlist track
El Chombo - Dame Tu Cosita,,,3/07/21,Playlist track
Tones And I - Dance Monkey,,,3/07/21,Playlist track
Robyn - Dancing On My Own,,,3/07/21,Playlist track
Demi Lovato - Dancing With The Devil (Official Video),,,3/07/21,Playlist track
Alan Walker · Au/Ra · Tomine Harket - Darkside,,,3/07/21,Playlist track
Geek Music · Geek Music - Deadpool - X Gon' Give It To Ya - Main Theme,,,3/07/21,Playlist track
Powfu · beabadoobee - death bed (coffee for your head),,,3/07/21,Playlist track
Olivia Rodrigo - deja vu (Official Video),,,3/07/21,Playlist track
Imagine Dragons - Demons,,,3/07/21,Playlist track
Luis Fonsi - Despacito ft. Daddy Yankee,,,3/07/21,Playlist track
Luis Fonsi · Daddy Yankee · Justin Bieber - Despacito (Remix),,,3/07/21,Playlist track
Maroon 5 · Kendrick Lamar - Don't Wanna Know,,,3/07/21,Playlist track
Swedish House Mafia · John Martin - Don't You Worry Child (Radio Edit),,,3/07/21,Playlist track
NF - DRIFTING,,,3/07/21,Playlist track
Olivia Rodrigo - drivers license (Official Video),,,3/07/21,Playlist track
ZAYN · Sia - Dusk Till Dawn,,,3/07/21,Playlist track
Taio Cruz - Dynamite,,,3/07/21,Playlist track
5 Seconds of Summer - Easier,,,3/07/21,Playlist track
benny blanco · Halsey · Khalid - Eastside,,,3/07/21,Playlist track
Gotye · Wouter De Backer - Easy Way Out,,,3/07/21,Playlist track
Alan Walker - Faded,,,3/07/21,Playlist track
Trevor Daniel - Falling,,,3/07/21,Playlist track
Harry Styles - Falling,,,3/07/21,Playlist track
Why Don't We - Fallin’ (Adrenaline),,,3/07/21,Playlist track
Iggy Azalea · Charli XCX · Wiley - Fancy,,,3/07/21,Playlist track
Portugal. The Man - Feel It Still,,,3/07/21,Playlist track
Nina Simone - Feeling Good,,,3/07/21,Playlist track
Dua Lipa · Angèle - Fever,,,3/07/21,Playlist track
Katy Perry - Firework,,,3/07/21,Playlist track
Imagine Dragons - Follow You (Official Music Video),,,3/07/21,Playlist track
Riton · Nightcrawlers · Mufasa & Hypeman - Friday (Dopamine Re-Edit),,,3/07/21,Playlist track
Marshmello · Anne-Marie - FRIENDS,,,3/07/21,Playlist track
Ed Sheeran - Galway Girl,,,3/07/21,Playlist track
Halsey - Gasoline,,,3/07/21,Playlist track
Calvin Harris · Rag'n'Bone Man - Giant,,,3/07/21,Playlist track
Drake - God's Plan,,,3/07/21,Playlist track
Eminem · Juice WRLD - Godzilla,,,3/07/21,Playlist track
Olivia Rodrigo - good 4 u,,,3/07/21,Playlist track
SZA - Good Days (Official Video),,,3/07/21,Playlist track
Travis Scott · HVME - Goosebumps (Remix),,,3/07/21,Playlist track
Halsey - Graveyard,,,3/07/21,Playlist track
Sia - The Greatest,,,3/07/21,Playlist track
The Script · will.i.am - Hall of Fame,,,3/07/21,Playlist track
Ed Sheeran - Happier,,,3/07/21,Playlist track
Marshmello · Bastille - Happier,,,3/07/21,Playlist track
Camila Cabello · Young Thug - Havana,,,3/07/21,Playlist track
Maestro Ziikos - Havana - Trump,,,3/07/21,Playlist track
Glass Animals - Heat Waves (Official Video),,,3/07/21,Playlist track
twenty one pilots - Heathens,,,3/07/21,Playlist track
Marshmello · CHVRCHES - Here With Me,,,3/07/21,Playlist track
Panic! At The Disco - High Hopes,,,3/07/21,Playlist track
2WEI · Jon · Bri Bryant - Hit The Road Jack,,,3/07/21,Playlist track
Lil Nas X - HOLIDAY,,,3/07/21,Playlist track
Justin Bieber · Chance The Rapper - Holy,,,3/07/21,Playlist track
blackbear - hot girl bummer,,,3/07/21,Playlist track
Almaz Pump - Hotline Bling,,,3/07/21,Playlist track
Charlie Puth - How Long (EDX's Dubai Skyline Extended Mix),,,3/07/21,Playlist track
Coldplay - Hymn for the Weekend,,,3/07/21,Playlist track
Ed Sheeran · Justin Bieber - I Don't Care,,,3/07/21,Playlist track
The Weeknd · Daft Punk - I Feel It Coming,,,3/07/21,Playlist track
Gabby Barrett · Charlie Puth - I Hope (feat. Charlie Puth),,,3/07/21,Playlist track
Katy Perry - I Kissed A Girl,,,3/07/21,Playlist track
Lauv - I Like Me Better,,,3/07/21,Playlist track
Icona Pop · Charli XCX - I Love It (feat. Charli XCX),,,3/07/21,Playlist track
Bebe Rexha - I'm a Mess,,,3/07/21,Playlist track
Rucka Rucka Ali - I'm Osama,,,3/07/21,Playlist track
Lauv · Troye Sivan - i'm so tired...,,,3/07/21,Playlist track
Shawn Mendes - If I Can't Have You,,,3/07/21,Playlist track
JP Saxe · Julia Michaels - If the World Was Ending,,,3/07/21,Playlist track
Forest Blakk - If You Love Her,,,3/07/21,Playlist track
Fall Out Boy - Immortals,,,3/07/21,Playlist track
John Williams · Charles Gerhardt · National Philharmonic Orchestra - The Imperial March,,,3/07/21,Playlist track
Shawn Mendes - In My Blood,,,3/07/21,Playlist track
Drake - In My Feelings,,,3/07/21,Playlist track
Martin Garrix & Bebe Rexha - In The Name Of Love (Official Video),,,3/07/21,Playlist track
Justin Bieber · Quavo - Intentions,,,3/07/21,Playlist track
Julia Michaels - Issues,,,3/07/21,Playlist track
Dr. Alban - It's My Life (Radio Edit),,,3/07/21,Playlist track
XXXTENTACION - Jocelyn Flores,,,3/07/21,Playlist track
Stealth - Judgement Day,,,3/07/21,Playlist track
Ava Max - Kings & Queens Pt. 2 (feat. Lauv & Saweetie) [Official Visualizer],,,3/07/21,Playlist track
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",,,3/07/21,Playlist track
#1 Pop Hits! - Legends Never Die,,,3/07/21,Playlist track
League of Legends · Against The Current - Legends Never Die,,,3/07/21,Playlist track
Internet Money · Gunna · Don Toliver · NAV - Lemonade,,,3/07/21,Playlist track
Alec Benjamin - Let Me Down Slowly,,,3/07/21,Playlist track
NF - Let You Down,,,3/07/21,Playlist track
Dua Lipa - Levitating,,,3/07/21,Playlist track
Camila Cabello - Liar,,,3/07/21,Playlist track
Jason Derulo · Adam Levine - Lifestyle (feat. Adam Levine),,,3/07/21,Playlist track
Robin Hustin · Tobimorrow · Jex - Light It Up,,,3/07/21,Playlist track
Alan Walker · K-391 · Emelie Hollow - Lily,,,3/07/21,Playlist track
Alex & Sierra - Little Do You Know,,,3/07/21,Playlist track
Alan Walker · A$AP Rocky · Kameron - Live Fast (PUBGM),,,3/07/21,Playlist track
Justin Bieber · benny blanco - Lonely,,,3/07/21,Playlist track
Taylor Swift - Look What You Made Me Do,,,3/07/21,Playlist track
"Kygo, OneRepublic - Lose Somebody",,,3/07/21,Playlist track
Selena Gomez - Lose You To Love Me,,,3/07/21,Playlist track
"Eminem - Lose Yourself (From ""8 Mile"" Soundtrack)",,,3/07/21,Playlist track
Adam Levine - Lost Stars,,,3/07/21,Playlist track
Shawn Mendes - Lost In Japan,,,3/07/21,Playlist track
John Newman - Love Me Again,,,3/07/21,Playlist track
"Ellie Goulding - Love Me Like You Do (From ""Fifty Shades Of Grey"")",,,3/07/21,Playlist track
Lauv - Love Somebody [Official Video],,,3/07/21,Playlist track
Eminem · Rihanna - Love The Way You Lie,,,3/07/21,Playlist track
Justin Bieber - Love Yourself,,,3/07/21,Playlist track
Billie Eilish · Khalid - lovely,,,3/07/21,Playlist track
Flo Rida · T-Pain - Low (feat. T-Pain),,,3/07/21,Playlist track
Zara Larsson - Lush Life,,,3/07/21,Playlist track
salem ilese – mad at disney (official music video),,,3/07/21,Playlist track
DJ Snake - Magenta Riddim,,,3/07/21,Playlist track
Magic System · Ahmed Chawki - Magic in the Air (feat. Ahmed Chawki),,,3/07/21,Playlist track
PUBLIC · MisterWives - Make You Mine,,,3/07/21,Playlist track
Jonas Blue · William Singe - Mama,,,3/07/21,Playlist track
Conan Gray - Maniac,,,3/07/21,Playlist track
Maroon 5 - Maps,,,3/07/21,Playlist track
Rixton - Me And My Broken Heart,,,3/07/21,Playlist track
"G-Eazy · Bebe Rexha - Me, Myself & I",,,3/07/21,Playlist track
J. Balvin · Willy William · Beyoncé - Mi Gente,,,3/07/21,Playlist track
Zedd · Maren Morris · Grey - The Middle,,,3/07/21,Playlist track
Miley Cyrus - Midnight Sky (Official Video),,,3/07/21,Playlist track
Bazzi - Mine,,,3/07/21,Playlist track
Shawn Mendes · Justin Bieber - Monster,,,3/07/21,Playlist track
Eminem · Rihanna - The Monster,,,3/07/21,Playlist track
All Time Low · Demi Lovato · blackbear - Monsters (feat. Demi Lovato and blackbear),,,3/07/21,Playlist track
Lil Nas X - MONTERO (Call Me By Your Name),,,3/07/21,Playlist track
24kGoldn · iann dior - Mood,,,3/07/21,Playlist track
"Maroon 5 · Christina Aguilera - Moves Like Jagger (Studio Recording From ""The Voice"" Performance)",,,3/07/21,Playlist track
Maroon 5 - Memories,,,3/07/21,Playlist track
Alexandra Stan - Mr. Saxobeat (Maan Extended Version),,,3/07/21,Playlist track
Camila Cabello · DaBaby - My Oh My,,,3/07/21,Playlist track
Billie Eilish - my strange addiction,,,3/07/21,Playlist track
Imagine Dragons - Natural,,,3/07/21,Playlist track
Rucka Rucka Ali - Netherlands Gay,,,3/07/21,Playlist track
Rick Astley - Never Gonna Give You Up,,,3/07/21,Playlist track
Dua Lipa - New Rules,,,3/07/21,Playlist track
Dr. Dre · Snoop Dogg - The Next Episode,,,3/07/21,Playlist track
One Direction - Night Changes,,,3/07/21,Playlist track
Avicii - The Nights,,,3/07/21,Playlist track
Eminem - Not Afraid,,,3/07/21,Playlist track
Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),,,3/07/21,Playlist track
Lil Nas X - Old Town Road,,,3/07/21,Playlist track
Lil Nas X · RM - Old Town Road (feat. RM of BTS) (Seoul Town Road Remix),,,3/07/21,Playlist track
Cartoon · Daniel Levi - On & On,,,3/07/21,Playlist track
Jonas Brothers - Only Human,,,3/07/21,Playlist track
Anne-Marie · Niall Horan - Our Song,,,3/07/21,Playlist track
Maroon 5 · Wiz Khalifa - Payphone,,,3/07/21,Playlist track
Justin Bieber · Daniel Caesar · Giveon - Peaches,,,3/07/21,Playlist track
Melanie Martinez - Play Date,,,3/07/21,Playlist track
Ariana Grande - positions,,,3/07/21,Playlist track
The Weeknd · Kendrick Lamar - Pray For Me,,,3/07/21,Playlist track
Iggy Azalea - Personal Problem (Audio),,,3/07/21,Playlist track
Imagine Dragons · Kendrick Lamar - Radioactive,,,3/07/21,Playlist track
Eminem - Rap God,,,3/07/21,Playlist track
Ed Sheeran · Eminem · 50 Cent - Remember The Name (feat. Eminem & 50 Cent),,,3/07/21,Playlist track
Fort Minor · Styles Of Beyond - Remember the Name (feat. Styles of Beyond),,,3/07/21,Playlist track
Sara Kays - Remember That Night? [Official Music Video],,,3/07/21,Playlist track
Chamillionaire · Krayzie Bone - Ridin',,,3/07/21,Playlist track
Eminem · Ed Sheeran - River,,,3/07/21,Playlist track
Dream · PmBata - Roadtrip,,,3/07/21,Playlist track
Clean Bandit · Sean Paul · Anne-Marie - Rockabye (feat. Sean Paul & Anne-Marie),,,3/07/21,Playlist track
Ayo & Teo - Rolex,,,3/07/21,Playlist track
Jonas Brothers - Rollercoaster,,,3/07/21,Playlist track
Adele - Rolling in the Deep,,,3/07/21,Playlist track
SAINt JHN · Imanbek - Roses (Imanbek Remix),,,3/07/21,Playlist track
Arizona Zervas - ROXANNE,,,3/07/21,Playlist track
Lorde - Royals,,,3/07/21,Playlist track
MAGIC! - Rude,,,3/07/21,Playlist track
XXXTENTACION - SAD!,,,3/07/21,Playlist track
Jawsh 685 · Jason Derulo - Savage Love (Laxed - Siren Beat),,,3/07/21,Playlist track
Swedish House Mafia - Save The World (Extended Mix),,,3/07/21,Playlist track
The Weeknd - Save Your Tears (Official Music Video),,,3/07/21,Playlist track
Alessia Cara - Scars To Your Beautiful,,,3/07/21,Playlist track
Shawn Mendes · Camila Cabello - Señorita,,,3/07/21,Playlist track
The White Stripes - Seven Nation Army,,,3/07/21,Playlist track
Camila Cabello - Shameless,,,3/07/21,Playlist track
Ed Sheeran - Shape of You,,,3/07/21,Playlist track
Ellie Goulding - Sixteen,,,3/07/21,Playlist track
Sabrina Carpenter - Skin,,,3/07/21,Playlist track
Sergius - Sky High (Original Mix),,,3/07/21,Playlist track
Calvin Harris · Frank Ocean · Migos - Slide,,,3/07/21,Playlist track
Joji - SLOW DANCING IN THE DARK,,,3/07/21,Playlist track
"Ellie Goulding - Slow Grenade (Live On ""Good Morning America"", New York / 2020)",,,3/07/21,Playlist track
Juice WRLD · The Weeknd - Smile,,,3/07/21,Playlist track
